logp_cosmo_full,logp_all_full,logp_cosmo_fisher,logp_all_fisher
-34912.31899951925,-34211.993424932,-51348.146268717835,-49693.54680962249
-4489.827477153265,-4833.635320531574,-5038.067079521427,-5510.25954636208
-16389.88477304082,-16801.094845601776,-20883.072799831778,-21586.661778959788
-48529.78707509615,-48608.551788733195,-36314.18987706395,-36447.70307904533
-1176.551831405804,-1065.7317718795412,-1157.1032193423573,-1052.7782820799903
-1473.6854929872443,-1259.9666677554158,-1378.2427514036503,-1172.4264211185096
-3160.171972810466,-2869.3218093999762,-2859.0014912627203,-2606.5314841824406
-20907.549557511986,-20409.62984130788,-27667.312873185332,-26692.775717594337
-5443.430773117464,-5745.19122528766,-4813.591276551142,-5015.913179236626
-7023.593207355723,-6998.492017520089,-8079.255130631354,-8056.882207485718
-15830.781573460263,-16083.841221850562,-13364.92873819072,-13579.73735867013
-1035.2462814194564,-1008.463299226607,-1047.090883298968,-1017.4357858633753
-16875.456327122563,-16269.088524153372,-13885.088621263421,-13510.864914959322
-30319.36951603532,-31018.6481813216,-24001.74704462403,-24254.26620450311
-266.6817944542388,-464.9529279802368,-264.400465277683,-447.59412523532205
-230.98432345280594,-380.8648905250142,-204.77921358990343,-348.5242328018092
-10024.361867359623,-10024.455577888422,-11837.907410750393,-11810.487586077556
-15817.483327708342,-15563.67725965723,-19849.651333786085,-19481.4446984328
-325.7330238569983,-445.067404102935,-342.5045049159026,-475.8618912984076
-2094.6568699376903,-2115.4022137963757,-1998.9991820019272,-2029.3138897021263
-32958.56865929761,-32707.309069066785,-47709.69949158581,-47305.69487027026
-9560.973617518977,-9703.839013841407,-11282.5042282957,-11491.523117953655
-74408.65058210252,-70943.35846443585,-53533.13683746589,-51556.756632084245
-53162.5791388454,-55259.274606114974,-39697.849229046544,-40998.603764627704
-12057.846013051263,-12053.363655296496,-14716.304132052119,-14819.084200709058
-4222.983535928632,-3947.0833425880783,-4711.434283224631,-4383.50053353909
-10405.372189264037,-10689.156834336647,-9019.107479320244,-9267.762694480985
-19145.71736537748,-18449.12386273235,-24747.287260465975,-23641.75753914393
-2868.7217133597355,-2616.0791829387304,-3125.9412795671087,-2811.1256608853905
-3579.8086776542254,-3651.292804362377,-3998.8729880976275,-4140.838045807062
-2830.523450974222,-2825.988710265063,-2582.8277889630285,-2585.2368659672134
-68564.35050608039,-68062.21111602691,-49801.589003453766,-49457.751278368116
-74.8834851041699,-180.20510783804403,-93.29483834941023,-205.14171457427008
-8820.346197192124,-8819.105953311097,-10440.3578259365,-10468.078194389824
-436.9121877575536,-462.05345429730073,-409.4902817672039,-430.92098343827365
-5704.84292523743,-5743.2158295425925,-5101.074046015759,-5159.457867322376
-4820.341833719115,-5270.31214701162,-4327.79151430358,-4700.618298346287
-9348.047035010744,-10417.911725257922,-8016.6447621561665,-8748.998286863734
-2401.445147171869,-3413.9315768831552,-2222.5936807805306,-3073.0661273446085
-3453.432792442092,-4049.033610043409,-3116.86787415184,-3626.2739626589155
-36.48649180425459,-176.763215097442,-35.61511505163274,-177.21528131276062
-18094.761519774027,-18269.49534232367,-23432.663381960017,-23770.76694161706
-27623.906204247196,-26241.779317672575,-22177.043874542505,-21196.480435136775
-3310.078116510074,-2910.6263266136407,-2990.826402421924,-2660.1884104659216
-19307.427322138796,-19622.640182138613,-25172.000981855876,-25659.928511133854
-1802.5171790946583,-1823.386473867253,-1962.353359779199,-1993.010941474416
-21271.261470007354,-21799.222324869617,-28072.85994124221,-29112.46101649976
-19407.291223013763,-20664.306536727076,-25152.643426538947,-27468.40913821678
-12725.364555626285,-11661.540604459504,-10704.110131100557,-9879.157919219542
-37325.811635273545,-37603.30189072864,-55826.82417638103,-56677.58845939448
-11309.373034155302,-11246.603655922192,-13725.938072318071,-13607.026344497339
-15827.860101377904,-15884.208674696507,-20072.996766945664,-20068.276619676144
-792.0039973153293,-967.140355537365,-802.0624287015911,-992.0986839934714
-954.2490001032489,-897.744783134654,-988.8231186698846,-927.8768810211334
-15295.72934087171,-15621.818025773318,-19162.518330025563,-19792.30273778861
-2139.246071520667,-2253.317317042971,-2301.16391547218,-2436.1498399121833
-17464.784522762595,-17342.2507340778,-22369.18731394514,-22222.380733106213
-2230.4822619815022,-2389.07665065859,-2406.5412882766495,-2611.9841060133595
-1080.6436894211417,-1223.7537687845322,-1131.484564522559,-1307.1073530694034
